date,text,sentiment_score,Price,Open,Close,Price_Change,Movement
2024-11-06 05:24:01+00:00,plan first time apne hisab se select kar lena jo bnde investment krna chate hai vo bnde baki jo regular bnde hai vo jitna dil kre utna investment kro ab enjoy kro whatsapp contact,0.4939,227.3300018310547,225.38999938964844,,,0
2024-11-06 05:24:39+00:00,first time trading company se judne ke liye apko kud ke pass se investment krna hai,0.0,227.3300018310547,225.38999938964844,,,0
2024-11-06 05:52:45+00:00,banknifty express,0.0,227.3300018310547,225.38999938964844,,,0
2024-11-07 04:52:30+00:00,banknifty 13 nov 52500 ce buy above 200 current price 200 target230240250 stoploss paid,0.0,227.3300018310547,225.38999938964844,,,0
2024-11-07 05:25:37+00:00,200 200,0.0,227.3300018310547,225.38999938964844,,,0
2024-11-07 05:25:44+00:00,200 210,0.0,227.3300018310547,225.38999938964844,,,0
2024-11-07 05:25:50+00:00,200 220,0.0,227.3300018310547,225.38999938964844,,,0
2024-11-07 05:25:56+00:00,200 230,0.0,227.3300018310547,225.38999938964844,,,0
2024-11-07 05:26:28+00:00,200 230 1st target hit book your 50 profit book profit trail stop loss profit,0.6369,227.3300018310547,225.38999938964844,,,0
2024-11-07 05:26:39+00:00,200 240,0.0,227.3300018310547,225.38999938964844,,,0
2024-11-07 05:26:58+00:00,200 240 2nd target hit book your 70 profit book profit trail stop loss profit,0.6369,227.3300018310547,225.38999938964844,,,0
2024-11-07 05:29:50+00:00,200 250,0.0,227.3300018310547,225.38999938964844,,,0
2024-11-07 05:30:19+00:00,200 250 3rd target hit book your 100 profit book profit trail stop loss profit,0.6369,227.3300018310547,225.38999938964844,,,0
2024-11-07 06:44:05+00:00,new joining hai jo bnde interested hai humare sath judna chate hai roj profit kemana chate hai investment krke jud jana jo bnde kud trading krke profit nhi kema pa rehe hai loss me chal rehe hai bindass investment kro profit kemao enjoy kro,0.9062,227.3300018310547,225.38999938964844,,,0
2024-11-07 06:46:23+00:00,only first time apko kud ke pass se investment krna hai baki fir roj profit milta rehega roj usi profit amount se investment krte rehna hai apko,0.7003,227.3300018310547,225.38999938964844,,,0
